WARN ( ./pmacct.conf.vaultaire ): Unknown key: print_output. Line 4 ignored.
OK ( default/core ): link type is: 1
WARN ( default/core ): eth1: no IPv4 address assigned
ID     CLASS             SRC_MAC            DST_MAC            VLAN   SRC_AS  DST_AS  SRC_IP           DST_IP           SRC_PORT  DST_PORT  TCP_FLAGS  PROTOCOL    TOS    PACKETS               FLOWS                 BYTES
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.239.135    123.125.71.18    0         0         0          ip          0      14                    0                     18885
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.228.242    180.149.192.134  0         0         0          ip          0      2                     0                     117
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       124.185.47.167   110.173.157.7    0         0         0          ip          0      19                    0                     988
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.142.24.248   110.173.158.70   0         0         0          ip          0      330                   0                     300841
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       150.101.218.234  202.4.228.168    0         0         0          ip          0      118                   0                     12462
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.235.70     202.139.83.166   0         0         0          ip          0      8                     0                     768
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.232.63     98.232.140.118   0         0         0          ip          0      1                     0                     296
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.55.166.100   202.4.239.136    0         0         0          ip          0      178                   0                     36202
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       182.118.33.194   202.4.227.163    0         0         0          ip          0      18                    0                     936
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.228.137    203.191.204.66   0         0         0          ip          0      447                   0                     336662
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.158.135  122.107.49.227   0         0         0          ip          0      2                     0                     80
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.227.163    182.118.33.194   0         0         0          ip          0      25                    0                     30940
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       173.14.195.157   202.4.235.59     0         0         0          ip          0      1                     0                     78
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       61.88.93.226     202.4.228.191    0         0         0          ip          0      53                    0                     5872
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       118.211.94.152   110.173.157.213  0         0         0          ip          0      129                   0                     6823
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       180.95.22.23     202.4.227.17     0         0         0          ip          0      2                     0                     104
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.69.38.43     202.4.228.72     0         0         0          ip          0      2                     0                     96
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.228.191    61.88.93.226     0         0         0          ip          0      49                    0                     31755
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       101.173.127.241  110.173.157.213  0         0         0          ip          0      228                   0                     26399
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       65.55.65.14      110.173.157.181  0         0         0          ip          0      66                    0                     2640
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.235.59     173.14.195.157   0         0         0          ip          0      1                     0                     83
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.236.140    220.236.220.124  0         0         0          ip          0      3                     0                     216
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       203.191.204.66   202.4.228.137    0         0         0          ip          0      511                   0                     289912
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       139.130.105.146  110.173.154.99   0         0         0          ip          0      60                    0                     2400
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       101.170.255.236  202.4.229.143    0         0         0          ip          0      1476                  0                     81918
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       116.212.202.14   202.4.227.110    0         0         0          ip          0      106                   0                     7372
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.171.240.198  202.4.231.45     0         0         0          ip          0      1636                  0                     85480
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       101.168.85.64    202.4.229.46     0         0         0          ip          0      156                   0                     10712
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.227.17     180.95.22.23     0         0         0          ip          0      1                     0                     52
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.157.181  65.55.65.14      0         0         0          ip          0      146                   0                     206208
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.229.143    101.170.255.236  0         0         0          ip          0      2161                  0                     3102551
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.154.99   139.130.105.146  0         0         0          ip          0      104                   0                     150222
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.6.146.20     110.173.157.5    0         0         0          ip          0      1169                  0                     116944
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.229.39     101.164.130.228  0         0         0          ip          0      3053                  0                     3706414
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       101.170.213.84   202.4.230.164    0         0         0          ip          0      1                     0                     52
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       50.31.164.235    110.173.154.94   0         0         0          ip          0      13                    0                     4306
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       178.255.84.6     202.4.234.251    0         0         0          ip          0      1                     0                     79
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.234.179    60.242.19.68     0         0         0          ip          0      1883                  0                     2440105
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.159.133.196  202.4.236.106    0         0         0          ip          0      3                     0                     156
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       122.149.8.2      202.4.224.173    0         0         0          ip          0      43                    0                     11663
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       183.132.230.107  202.4.232.63     0         0         0          ip          0      1                     0                     129
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.230.138    59.98.128.103    0         0         0          ip          0      1287                  0                     600012
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.230.164    101.170.213.84   0         0         0          ip          0      1                     0                     52
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       202.4.234.251    178.255.84.6     0         0         0          ip          0      1                     0                     98
0      unknown           00:00:00:00:00:00  00:00:00:00:00:00  0      0       0       110.173.154.94   50.31.164.235    0         0         0          ip          0      8                     0                     3205
